guess,guess_pool_shrink,solution_pool_shrink
SAGER,0.9582220286391889,0.9489431774183766
ARSEY,0.9580875639107058,0.9536669947613693
SEGAR,0.9580089763031724,0.9486826919937117
AEONS,0.9579205985445309,0.9518116891901346
OSIER,0.9578121409861678,0.9522561564405301
ISNAE,0.9577961570659917,0.9509341369321125
SAYNE,0.9577738461774121,0.9464687524782035
MARSE,0.9577006198431045,0.9489498948075514
LEANS,0.9576827045325738,0.9527245077413246
ORLES,0.9576473068093498,0.9545583549860289
SCORE,0.957643044430636,0.947851974865769
SIEUR,0.9575986224524795,0.9477862937271714
ALERT,0.9575584961528703,0.9598979330033728
STRIA,0.9574601950437861,0.9488577173005425
NEALS,0.9574442444234434,0.9524957433210961
SMEAR,0.9574323563828123,0.9461211275884105
STONE,0.957423931524886,0.946166656559484
SPEAR,0.9574094127973924,0.9466290368476785
TALER,0.9574040182243331,0.960686293260686
STARN,0.9574031191288233,0.9485884619511216
ALTER,0.9574013542376371,0.9602302571733786
LYASE,0.9572746483704061,0.9475304731561001
TRIES,0.9572447451197428,0.9546563169114938
RESIT,0.9572056511149784,0.9528851652990872
SHALE,0.9571473764060021,0.9468307451170646
NEATS,0.9571261644119349,0.9519568594339665
LEIRS,0.9570885355998533,0.9532219677285428
ANTRE,0.9570810431372706,0.9585535221977058
RATEL,0.9570743165708628,0.9603384817767493
SABER,0.9569780134518009,0.946565594838806
LOAST,0.9569604311396069,0.9494275758155332
LORES,0.9569489426969802,0.9540204040696183
LATER,0.9569431485259162,0.9600059710125997
ARILS,0.95690089103695,0.9519934318861402
ARSED,0.9568557364624523,0.9514894411038909
AURES,0.9568434821236502,0.9533660184075121
TARSI,0.9568204719385632,0.9508665898520775
ROUSE,0.9568089501961028,0.9481527646254823
RIALS,0.9567984607484872,0.9515381421754079
ROLES,0.9567829097261488,0.9538593733235683
LAIRS,0.9567025239275954,0.9518783032994511
STERN,0.956697029455035,0.9492096338556413
LANES,0.9566792473438387,0.9534520383077777
OATER,0.9566504429876876,0.9597281323325668
YEARS,0.9566289978947845,0.9507585518428505
RESTO,0.9565442498180163,0.9518768105463009
LIARS,0.9565214061320977,0.9510470263890769
UREAS,0.9565006270358686,0.951348749119509
RASED,0.9564329950736227,0.950951863375768
TORES,0.9564217064299981,0.9535639947940233
RAILS,0.9564215732306635,0.9517124211056636
STYRE,0.9563195092403709,0.9454885734411226
TIARS,0.9563193427412024,0.9512401513278507
RIELS,0.9563045909148731,0.9526022885771731
SALTO,0.9562771518519035,0.9478280908153697
PAISE,0.9562414544301767,0.9452517854727129
LIERS,0.9562381577466401,0.9522949680224284
NATES,0.956156772953076,0.9525965041587171
ROTES,0.9561257375080671,0.953060190605918
ELANS,0.9561168131526352,0.9505700917576703
NOISE,0.9560986314434347,0.9454827890226666
CARES,0.9560855113089565,0.9542271503808855
SHIRE,0.9559887419922226,0.945000629755235
CASTE,0.9559722585745405,0.9503792059486212
RILES,0.955945085910241,0.9536028063759219
SHORE,0.9558888424911206,0.9441684198741421
RAITS,0.9558719927752681,0.9516362906950167
STURE,0.9558491157895158,0.9455473505964016
SANED,0.955840857430758,0.945277908652837
SPALE,0.9558216767265464,0.9436013602713081
SPATE,0.955809255888576,0.9430746050035219
YEAST,0.9557894424875242,0.9467023683461695
DARES,0.9557715271769931,0.9514789918318413
STEIL,0.9557533787676263,0.9471947902915068
ROANS,0.9557232091182936,0.9495962569214763
MAISE,0.9556836156160237,0.9448504214695221
EORLS,0.9556430564185764,0.9516769682183526
DEARS,0.9556270391985663,0.9497759470819007
TIRES,0.9555938725642004,0.9537918262435335
TERAI,0.9555639027138698,0.9590927792731226
RESAY,0.9555590076383157,0.9503170700987551
SLYER,0.9555183485413674,0.9462763739160047
CRISE,0.955514285961656,0.9494671337740065
TAROS,0.9555125210704697,0.9520027615933273
ANTES,0.9555050286078871,0.9518038522360976
RACES,0.9554889114883761,0.9532249532348427
LEARN,0.9553807203286828,0.9570421096333891
SORED,0.9553743267606121,0.9444822712239178
SLANT,0.9553577767432628,0.9459684935788291
AYRES,0.955308925887224,0.9517659736249179
TSADE,0.955291476774365,0.9468747813349878
READS,0.9552565785486469,0.9493409961328363
SAROD,0.9552023331195485,0.9437028674855039
RATOS,0.9551954400539725,0.9514297309778934
STAGE,0.9551656367028104,0.9429535054042328
LARIS,0.955158110940394,0.951187531779315
RETIA,0.9551514176738201,0.9581812668809387
SERIC,0.9551024003186128,0.9476013789307223
TIERS,0.9550760934499893,0.9515439265938637
ACRES,0.9550760601501558,0.9528045566289901
