guess,avg_correct,avg_present,avg_absent,avg_tile_score,guess_pool_shrink,solution_pool_shrink
ABBED,0.28077753779697623,0.9585313174946004,3.7606911447084235,1.5200863930885529,0.8694809688120417,0.8679193353516601
ABBES,0.24535637149028078,1.1010799136069114,3.6535637149028077,1.591792656587473,0.906536524256598,0.8934592221823118
ABBEY,0.38704103671706264,0.8725701943844493,3.7403887688984883,1.6466522678185744,0.8720801540317108,0.8740920562208154
ABBOT,0.25874730021598275,0.9434125269978402,3.7978401727861772,1.4609071274298056,0.8695995495198496,0.8722104408753131
ABCEE,0.41252699784017277,1.2012958963282938,3.3861771058315333,2.026349892008639,0.89052673010951,0.892560211597759
ABEAM,0.232829373650108,1.2526997840172787,3.514470842332613,1.7183585313174945,0.8636474706445315,0.8600948831220933
ABEAR,0.3062634989200864,1.4120950323974082,3.2816414686825053,2.024622030237581,0.903850026872966,0.905503500972622
ABELE,0.39740820734341253,1.3028077753779697,3.299784017278618,2.0976241900647947,0.901190435754964,0.8995729793020447
ABERS,0.22548596112311015,1.367170626349892,3.407343412526998,1.8181425485961122,0.9482439332697972,0.9418320746003388
ABETS,0.21987041036717062,1.2993520518358532,3.480777537796976,1.7390928725701944,0.9430348402840076,0.9357414551544301
ABHOR,0.2203023758099352,1.1036717062634989,3.676025917926566,1.5442764578833694,0.9147487627446788,0.9182637414924736
ABIDE,0.3956803455723542,1.0077753779697625,3.5965442764578834,1.7991360691144709,0.9281610033639492,0.924228036703068
ABIES,0.33563714902807773,1.1749460043196545,3.4894168466522677,1.84622030237581,0.9474236917660834,0.9402501294496872
ABLED,0.3045356371490281,1.099352051835853,3.5961123110151187,1.7084233261339092,0.921368336786526,0.9219027004837452
ABLER,0.34514038876889847,1.2604751619870411,3.3943844492440607,1.950755939524838,0.9400484445980676,0.9424405581030841
ABLES,0.2691144708423326,1.2419006479481642,3.4889848812095035,1.7801295896328293,0.9432837565409198,0.937340566966306
ABLET,0.36285097192224625,1.169330453563715,3.467818574514039,1.8950323974082073,0.9365516956608321,0.9404835587235096
ABLOW,0.18056155507559396,0.9818574514038877,3.8375809935205183,1.3429805615550756,0.8852424127993905,0.886769448940845
ABMHO,0.13131749460043196,0.9598272138228942,3.908855291576674,1.2224622030237582,0.8745197997481201,0.8745482789022666
ABODE,0.3861771058315335,1.0285097192224621,3.585313174946004,1.8008639308855292,0.9287482792310936,0.9250770400570978
ABOHM,0.20345572354211663,0.8876889848812095,3.908855291576674,1.2946004319654427,0.8797604276764242,0.8782430295425179
ABOIL,0.30885529157667385,1.049244060475162,3.641900647948164,1.6669546436285096,0.922713483568863,0.9217328998129394
ABOMA,0.2302375809935205,1.0898488120950325,3.679913606911447,1.5503239740820733,0.8363726757548573,0.8285378949381673
ABOON,0.2863930885529158,1.0406047516198704,3.673002159827214,1.613390928725702,0.862381044669063,0.8612545657254547
ABORD,0.2898488120950324,1.0302375809935205,3.679913606911447,1.6099352051835853,0.9166324344376224,0.9150804454002208
ABORE,0.4220302375809935,1.1943844492440605,3.383585313174946,2.0384449244060474,0.9462906982242529,0.9450194757637532
ABORT,0.34816414686825053,1.1002159827213822,3.551619870410367,1.7965442764578834,0.932749054451222,0.9352305603888622
ABOUT,0.31792656587473,0.9663066954643629,3.715766738660907,1.6021598272138229,0.914002280372612,0.9149554273239134
ABOVE,0.37624190064794816,0.9429805615550756,3.6807775377969763,1.695464362850972,0.9105672360272236,0.9077980491582271
ABRAM,0.2267818574514039,1.16414686825054,3.609071274298056,1.6177105831533478,0.8471684152409342,0.8488208649571534
ABRAY,0.36587473002159826,1.0764578833693303,3.5576673866090713,1.808207343412527,0.860846688231639,0.8658151131926725
ABRIM,0.22462203023758098,1.0531317494600432,3.7222462203023756,1.5023758099352051,0.9093923512945976,0.9104189505012386
ABRIN,0.2626349892008639,1.123974082073434,3.613390928725702,1.649244060475162,0.9244665533140328,0.9275473599261086
ABRIS,0.22203023758099352,1.1939524838012958,3.5840172786177105,1.638012958963283,0.9387811195270892,0.9327130322014844
ABSEY,0.39697624190064795,1.014254859611231,3.5887688984881208,1.808207343412527,0.9361453044903494,0.9272323890114708
ABSIT,0.27991360691144707,1.062634989200864,3.657451403887689,1.622462203023758,0.933812451340618,0.9238458918966828
ABUNA,0.24535637149028078,1.090280777537797,3.6643628509719224,1.5809935205183585,0.8369621161111921,0.8401485289384192
ABUNE,0.4008639308855292,0.9982721382289417,3.600863930885529,1.8,0.9252420731410868,0.9251807864010188
ABUSE,0.3961123110151188,1.0323974082073435,3.571490280777538,1.824622030237581,0.94180234683908,0.9292433140985872
ABUTS,0.21468682505399567,1.0457883369330454,3.739524838012959,1.4751619870410366,0.9200808320163248,0.9095354272306164
ABUZZ,0.14946004319654427,0.5861771058315335,4.2643628509719225,0.885097192224622,0.7469483366400067,0.7420304241751373
ABYES,0.23326133909287258,1.1779697624190064,3.5887688984881208,1.6444924406047516,0.9346673579712144,0.9269028637536212
ABYSM,0.17235421166306694,0.9114470842332614,3.916198704103672,1.2561555075593953,0.9019031187958249,0.8798106069441011
ABYSS,0.16976241900647948,1.052267818574514,3.7779697624190063,1.391792656587473,0.8698108369646801,0.8436091039282732
ACAIS,0.2946004319654428,1.2306695464362851,3.474730021598272,1.8198704103671706,0.9062811478319476,0.8932836370930499
